http://www.wikidata.org/entity/Q100156193,Laurence Henry Millener,male,New Zealand,1914-04-01T00:00:00Z,2000-01-01T00:00:00Z
http://www.wikidata.org/entity/Q100156193,Laurence Henry Millener,male,New Zealand,1914-04-01T00:00:00Z,2000-01-01T00:00:00Z
http://www.wikidata.org/entity/Q100157099,Ross Henry Michie,male,New Zealand,1894-01-01T00:00:00Z,1987-01-01T00:00:00Z
http://www.wikidata.org/entity/Q100587885,Myrtle L. T. Adams,female,United States of America,1903-12-13T00:00:00Z,1989-02-16T00:00:00Z
http://www.wikidata.org/entity/Q100600540,Hubert Walter Simmonds,unknown,unknown,1877-01-01T00:00:00Z,1966-03-16T00:00:00Z
http://www.wikidata.org/entity/Q100694962,Leonora Gloyd,female,United States of America,1902-08-29T00:00:00Z,1993-06-02T00:00:00Z
http://www.wikidata.org/entity/Q100699957,Lewis J. Stannard,male,United States of America,1918-04-15T00:00:00Z,1988-01-17T00:00:00Z
http://www.wikidata.org/entity/Q100771006,Esther Louise Larsen,female,United States of America,1901-03-07T00:00:00Z,1994-12-19T00:00:00Z
http://www.wikidata.org/entity/Q100783450,Eva Beckett,female,Canada,1891-06-02T00:00:00Z,1988-05-06T00:00:00Z
http://www.wikidata.org/entity/Q100876,ديڤيد فريدريتش وينلاند,male,German Empire,1829-08-30T00:00:00Z,1915-09-16T00:00:00Z
http://www.wikidata.org/entity/Q100919649,Edna Ege Hanson,female,unknown,1893-09-05T00:00:00Z,1924-01-01T00:00:00Z
http://www.wikidata.org/entity/Q100920290,Herbert Christian Hanson,male,United States of America,1890-04-18T00:00:00Z,1962-03-05T00:00:00Z
http://www.wikidata.org/entity/Q100935946,Kristian Andreassen,male,Norway,1898-06-21T00:00:00Z,1973-07-22T00:00:00Z
http://www.wikidata.org/entity/Q100939400,Bruce J Hayward,male,United States of America,1928-04-13T00:00:00Z,2011-08-03T00:00:00Z
http://www.wikidata.org/entity/Q101069260,Randor Eretius Fridtz,male,unknown,1845-01-01T00:00:00Z,1921-01-01T00:00:00Z
http://www.wikidata.org/entity/Q101069270,Jon Kaasa,male,Norway,1918-07-31T00:00:00Z,2002-08-26T00:00:00Z
http://www.wikidata.org/entity/Q101069287,Askell Røskeland,male,Norway,1868-10-13T00:00:00Z,1948-01-01T00:00:00Z
http://www.wikidata.org/entity/Q101069300,Isak Yngvar Mejland,male,Norway,1901-01-01T00:00:00Z,1979-01-01T00:00:00Z
http://www.wikidata.org/entity/Q101069359,Hartvig Johnsen,male,Norway,1877-04-23T00:00:00Z,1954-08-10T00:00:00Z
http://www.wikidata.org/entity/Q101069427,Sverre Løkken,male,unknown,1936-10-19T00:00:00Z,1998-07-25T00:00:00Z
http://www.wikidata.org/entity/Q101069525,Even Trætteberg,male,Norway,1871-02-08T00:00:00Z,1949-02-08T00:00:00Z
http://www.wikidata.org/entity/Q101070057,Peter Benum,male,Norway,1882-02-24T00:00:00Z,1959-09-03T00:00:00Z
http://www.wikidata.org/entity/Q101072594,Hilja Lippmaa,female,unknown,1902-03-25T00:00:00Z,1943-01-27T00:00:00Z
http://www.wikidata.org/entity/Q101083944,Hans Fredrik Røer,male,unknown,1945-01-11T00:00:00Z,1973-06-24T00:00:00Z
http://www.wikidata.org/entity/Q101083960,Tor Hovland Eknæs,male,unknown,1909-04-23T00:00:00Z,1995-01-01T00:00:00Z
http://www.wikidata.org/entity/Q101085379,Odd Jostein Aalen,male,Norway,1907-12-09T00:00:00Z,1944-01-01T00:00:00Z
http://www.wikidata.org/entity/Q101085458,Karen Tank Anker Hygen,female,Norway,1907-04-24T00:00:00Z,1988-10-12T00:00:00Z
http://www.wikidata.org/entity/Q101085788,Fredrik Lange,male,Norway,1882-03-08T00:00:00Z,1963-11-01T00:00:00Z
